id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_utc_offset,status_url,entities_str
344410403243167745,neos_eu,@mic_ung Viel Erfolg! #matura #beifunk,Tue Jun 11 11:06:53 +0000 2013,11/06/2013 12:06:53,,en,730737896,mic_ung,819698388,344410112506601472,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",http://a0.twimg.com/profile_images/3192558081/601966493d9466b362c0ca4c2c33b45e_normal.png,1808,177,7200,http://twitter.com/neos_eu/statuses/344410403243167745,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""matura"",""indices"":[22,29]},{""text"":""beifunk"",""indices"":[30,38]}],""user_mentions"":[{""id"":730737896,""name"":""Michael Unger"",""indices"":[0,8],""screen_name"":""mic_ung"",""id_str"":""730737896""}]}"
344207656606654464,Tom_Harb,@mic_ung 17:00 wäre eh perfekt - klassische Uhrzeit für erste ORF-Hochrechnung ;-) #Beifunk @ChristophFreina,Mon Jun 10 21:41:15 +0000 2013,10/06/2013 22:41:15,,de,730737896,mic_ung,268861293,344207171824779264,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://a0.twimg.com/profile_images/3604328239/dce72a770c96c7af2c941333a46d7dd7_normal.jpeg,64,328,3600,http://twitter.com/Tom_Harb/statuses/344207656606654464,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""Beifunk"",""indices"":[83,91]}],""user_mentions"":[{""id"":730737896,""name"":""Michael Unger"",""indices"":[0,8],""screen_name"":""mic_ung"",""id_str"":""730737896""},{""id"":261867800,""name"":""Christoph Freina"",""indices"":[92,108],""screen_name"":""ChristophFreina"",""id_str"":""261867800""}]}"
344206743498289152,ChristophFreina,Und wer sorgt für #beifunk bei @mic_ung's Matura?,Mon Jun 10 21:37:37 +0000 2013,10/06/2013 22:37:37,,de,,,261867800,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",http://a0.twimg.com/profile_images/3595712551/af4384425baa6cefd9d894175f1e20ba_normal.jpeg,336,469,3600,http://twitter.com/ChristophFreina/statuses/344206743498289152,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""beifunk"",""indices"":[18,26]}],""user_mentions"":[{""id"":730737896,""name"":""Michael Unger"",""indices"":[31,39],""screen_name"":""mic_ung"",""id_str"":""730737896""}]}"
340471384432070657,mdomnanovich,ob ich wohl für einen liveticker der koalitionsverhandlungen viele neue follower*innen bekommen würde? #oeh #UniWien #beifunk,Fri May 31 14:14:38 +0000 2013,31/05/2013 15:14:38,,de,,,67914902,,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",http://a0.twimg.com/profile_images/3498037872/121a83ecc33fb0204ebedde01287711d_normal.jpeg,153,224,3600,http://twitter.com/mdomnanovich/statuses/340471384432070657,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""oeh"",""indices"":[103,107]},{""text"":""UniWien"",""indices"":[108,116]},{""text"":""beifunk"",""indices"":[117,125]}],""user_mentions"":[]}"
340120958142664705,AndreaVC06,#beifunk,Thu May 30 15:02:10 +0000 2013,30/05/2013 16:02:10,,es,,,920951762,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://a0.twimg.com/profile_images/3450046159/cc181c2abf0651e65bbd6cd1f86fde98_normal.jpeg,38,41,,http://twitter.com/AndreaVC06/statuses/340120958142664705,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""beifunk"",""indices"":[0,8]}],""user_mentions"":[]}"
335100950652014593,lafilledevienne,Kann ma eigentlich aus einer Wahlkommission abgelöst werden? #beifunk #oehwahl2013,Thu May 16 18:34:27 +0000 2013,16/05/2013 19:34:27,,de,,,984792606,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://a0.twimg.com/profile_images/3572728944/ddf708cb8b82ce437424ed90d2374984_normal.jpeg,203,253,3600,http://twitter.com/lafilledevienne/statuses/335100950652014593,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""beifunk"",""indices"":[61,69]},{""text"":""oehwahl2013"",""indices"":[70,82]}],""user_mentions"":[]}"
335099969935667200,lafilledevienne,"Aaaaaaa ich mag nicht mehr, es nervt mich!!!!!! #beifunk #oehwahl2013",Thu May 16 18:30:33 +0000 2013,16/05/2013 19:30:33,,de,,,984792606,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://a0.twimg.com/profile_images/3572728944/ddf708cb8b82ce437424ed90d2374984_normal.jpeg,203,253,3600,http://twitter.com/lafilledevienne/statuses/335099969935667200,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""beifunk"",""indices"":[48,56]},{""text"":""oehwahl2013"",""indices"":[57,69]}],""user_mentions"":[]}"
335097266836754432,lafilledevienne,Ich strebe hier #beifunk #oehwahl,Thu May 16 18:19:48 +0000 2013,16/05/2013 19:19:48,,de,,,984792606,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://a0.twimg.com/profile_images/3572728944/ddf708cb8b82ce437424ed90d2374984_normal.jpeg,203,253,3600,http://twitter.com/lafilledevienne/statuses/335097266836754432,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""beifunk"",""indices"":[16,24]},{""text"":""oehwahl"",""indices"":[25,33]}],""user_mentions"":[]}"
335055104623386624,mdomnanovich,@Camila_Garfias beobachten nicht twittern #beifunk,Thu May 16 15:32:16 +0000 2013,16/05/2013 16:32:16,,de,437331814,Camila_Garfias,67914902,335054509023838208,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",http://a0.twimg.com/profile_images/3498037872/121a83ecc33fb0204ebedde01287711d_normal.jpeg,147,222,3600,http://twitter.com/mdomnanovich/statuses/335055104623386624,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""beifunk"",""indices"":[42,50]}],""user_mentions"":[{""id"":437331814,""name"":""Camila Garfias"",""indices"":[0,15],""screen_name"":""Camila_Garfias"",""id_str"":""437331814""}]}"
335046579205574658,JollySea,"RT @Der_Gregor: Ein großes DANKE an alle Leute, die in ihrer Freizeit in den unzählen Wahlkommissionen für die #oehwahl sitzen. #beifunk #o…",Thu May 16 14:58:24 +0000 2013,16/05/2013 15:58:24,,en,,,13264792,,web,http://a0.twimg.com/profile_images/3442425885/c10974c483182fd5c755ec0313c6d4e1_normal.jpeg,883,739,3600,http://twitter.com/JollySea/statuses/335046579205574658,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""oehwahl"",""indices"":[111,119]},{""text"":""beifunk"",""indices"":[128,136]},{""text"":""o"",""indices"":[137,139]}],""user_mentions"":[{""id"":58761933,""name"":""Gregor"",""indices"":[3,14],""screen_name"":""Der_Gregor"",""id_str"":""58761933""}]}"
