id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_utc_offset,status_url,entities_str
311608672579100674,DominikHagen,"RT @_alexoswald: Naiv ist nicht die Gabi Burgstaller, sondern jene die ihre Unschuldsgeschichte glauben. #zib",Tue Mar 12 22:44:31 +0000 2013,12/03/2013 22:44:31,,de,,,834014863,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://a0.twimg.com/profile_images/2627954541/tx9e5pax3rkhtn2pkz7i_normal.jpeg,49,218,3600,http://twitter.com/DominikHagen/statuses/311608672579100674,"{""urls"":[],""hashtags"":[{""text"":""zib"",""indices"":[105,109]}],""user_mentions"":[{""id"":27864916,""name"":""Alexander Oswald"",""indices"":[3,15],""screen_name"":""_alexoswald"",""id_str"":""27864916""}]}"
311603006980378624,PolitikCH,RT:  @ChristophFreina: Vier Wahlgänge pro Tag? Da schafft ja sogar der Nationalrat mehr. #konklave #zib: Vier W...,Tue Mar 12 22:22:00 +0000 2013,12/03/2013 22:22:00,,de,,,322558084,,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",http://a0.twimg.com/profile_images/1409360445/politikCH_normal.jpg,361,36,,http://twitter.com/PolitikCH/statuses/311603006980378624,"{""urls"":[],""hashtags"":[{""text"":""konklave"",""indices"":[89,98]},{""text"":""zib"",""indices"":[99,103]}],""user_mentions"":[{""id"":261867800,""name"":""Christoph Freina"",""indices"":[5,21],""screen_name"":""ChristophFreina"",""id_str"":""261867800""}]}"
311596750869766144,Betrifft,"RT @ArminWolf: Gabi Burgstaller sagt in der #ZiB2, sie werde ""selbstverständlich"" zurücktreten, wenn SPÖ am 5. Mai nicht stärkste Partei ...",Tue Mar 12 21:57:09 +0000 2013,12/03/2013 21:57:09,,de,,,319854904,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://a0.twimg.com/profile_images/2732881133/4969f2db5957a1342ad615b9fa04b515_normal.jpeg,232,637,-10800,http://twitter.com/Betrifft/statuses/311596750869766144,"{""urls"":[],""hashtags"":[{""text"":""ZiB2"",""indices"":[44,49]}],""user_mentions"":[{""id"":20694291,""name"":""Armin Wolf"",""indices"":[3,13],""screen_name"":""ArminWolf"",""id_str"":""20694291""}]}"
311594948204044288,NKohlmayr,"“@ArminWolf Gabi Burgstaller sagt in der #ZiB2, sie werde ""selbstverständlich"" zurücktreten, wenn SPÖ am 5. Mai nicht stärkste Partei wird.”",Tue Mar 12 21:49:59 +0000 2013,12/03/2013 21:49:59,,de,,,346477439,,"<a href=""http://levelupstudio.com/plume"" rel=""nofollow"">Plume for Android</a>",http://a0.twimg.com/profile_images/3118461227/ecf31344dcb89ba02a74eec77194262a_normal.jpeg,64,220,3600,http://twitter.com/NKohlmayr/statuses/311594948204044288,"{""urls"":[],""hashtags"":[{""text"":""ZiB2"",""indices"":[41,46]}],""user_mentions"":[{""id"":20694291,""name"":""Armin Wolf"",""indices"":[1,11],""screen_name"":""ArminWolf"",""id_str"":""20694291""}]}"
311594429972619264,Braunschlag,"Burgstaller will bei Verlust Platz 1 zurücktreten, sagt sie in #zib2, oder ist das eine Spekulation von der sie später nichts weiss? #Bauxi",Tue Mar 12 21:47:55 +0000 2013,12/03/2013 21:47:55,,nl,,,625913855,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>",http://a0.twimg.com/profile_images/2365030049/image_normal.jpg,131,1,,http://twitter.com/Braunschlag/statuses/311594429972619264,"{""urls"":[],""hashtags"":[{""text"":""zib2"",""indices"":[63,68]},{""text"":""Bauxi"",""indices"":[133,139]}],""user_mentions"":[]}"
311594395411546112,torstenpedit,"RT @ArminWolf: Gabi Burgstaller sagt in der #ZiB2, sie werde ""selbstverständlich"" zurücktreten, wenn SPÖ am 5. Mai nicht stärkste Partei ...",Tue Mar 12 21:47:47 +0000 2013,12/03/2013 21:47:47,,de,,,231373308,,"<a href=""http://www.nibirutech.com"" rel=""nofollow"">TwitBird</a>",http://a0.twimg.com/profile_images/1443692942/173429_100001242385637_7342060_n_normal.jpg,87,345,,http://twitter.com/torstenpedit/statuses/311594395411546112,"{""urls"":[],""hashtags"":[{""text"":""ZiB2"",""indices"":[44,49]}],""user_mentions"":[{""id"":20694291,""name"":""Armin Wolf"",""indices"":[3,13],""screen_name"":""ArminWolf"",""id_str"":""20694291""}]}"
311593362966855680,Vilinthril,"RT @ArminWolf: Gabi Burgstaller sagt in der #ZiB2, sie werde ""selbstverständlich"" zurücktreten, wenn SPÖ am 5. Mai nicht stärkste Partei ...",Tue Mar 12 21:43:41 +0000 2013,12/03/2013 21:43:41,,en,,,263647843,,web,http://a0.twimg.com/profile_images/3282008212/5223b4ac62e4f32f73ec631b84b168a0_normal.jpeg,411,818,3600,http://twitter.com/Vilinthril/statuses/311593362966855680,"{""urls"":[],""hashtags"":[{""text"":""ZiB2"",""indices"":[44,49]}],""user_mentions"":[{""id"":20694291,""name"":""Armin Wolf"",""indices"":[3,13],""screen_name"":""ArminWolf"",""id_str"":""20694291""}]}"
311592626392539136,SteveAnorizz,"RT @ArminWolf: Gabi Burgstaller sagt in der #ZiB2, sie werde ""selbstverständlich"" zurücktreten, wenn SPÖ am 5. Mai nicht stärkste Partei ...",Tue Mar 12 21:40:45 +0000 2013,12/03/2013 21:40:45,,de,,,52759715,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://a0.twimg.com/profile_images/3012531326/11c35f2f009714db276e489745caa38f_normal.jpeg,170,466,3600,http://twitter.com/SteveAnorizz/statuses/311592626392539136,"{""urls"":[],""hashtags"":[{""text"":""ZiB2"",""indices"":[44,49]}],""user_mentions"":[{""id"":20694291,""name"":""Armin Wolf"",""indices"":[3,13],""screen_name"":""ArminWolf"",""id_str"":""20694291""}]}"
311592042071486466,hbadjura,"RT @EPichlbauer: #zib2 wenn ich so mit familiengeld umgehe, wie Politiker mit Steuern, wären wir Pleite und ich geschieden!",Tue Mar 12 21:38:26 +0000 2013,12/03/2013 21:38:26,,de,,,935232698,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://a0.twimg.com/profile_images/2824086767/9e2e9cebfaad4b3b675770e83fefd58c_normal.jpeg,22,40,3600,http://twitter.com/hbadjura/statuses/311592042071486466,"{""urls"":[],""hashtags"":[{""text"":""zib2"",""indices"":[17,22]}],""user_mentions"":[{""id"":309037182,""name"":""ernest pichlbauer"",""indices"":[3,15],""screen_name"":""EPichlbauer"",""id_str"":""309037182""}]}"
311591766144983040,future_is_NOW__,"RT @ArminWolf: Gabi Burgstaller sagt in der #ZiB2, sie werde ""selbstverständlich"" zurücktreten, wenn SPÖ am 5. Mai nicht stärkste Partei ...",Tue Mar 12 21:37:20 +0000 2013,12/03/2013 21:37:20,,de,,,1225556226,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://a0.twimg.com/profile_images/3316204941/fe485c7a9d40bcd936f28b34cc2510f0_normal.png,642,787,,http://twitter.com/future_is_NOW__/statuses/311591766144983040,"{""urls"":[],""hashtags"":[{""text"":""ZiB2"",""indices"":[44,49]}],""user_mentions"":[{""id"":20694291,""name"":""Armin Wolf"",""indices"":[3,13],""screen_name"":""ArminWolf"",""id_str"":""20694291""}]}"
